date,spot,iv_front,iv30,iv90,front_expiry,front_dte,expected_move_usd,expected_move_pct,put_call_oi,n_expiries,skew25_front,skew25_30d,gex_musd_per_1pct,total_call_oi,total_put_oi,short_pct_float,short_shares_m,short_days_to_cover,short_as_of
2026-08-25,137.95,54.7,54.6,60.1,2026-08-28,3,6.3,4.6,1.11,8,-3.0,-1.0,24.0,1096768,1219740,3.3,207.8,2.9,2026-07-31
2026-08-28,140.29,45.0,49.0,55.4,2026-09-04,7,7.38,5.3,1.09,7,-0.8,-1.0,29.1,978028,1062343,2.9,184.4,1.8,2026-08-14
2026-08-29,141.5,47.4,50.0,55.0,2026-09-04,6,7.28,5.1,1.11,8,0.1,-0.5,39.4,1146159,1268448,2.9,184.4,1.8,2026-08-14
2026-09-01,142.23,46.4,49.6,53.7,2026-09-04,3,5.46,3.8,1.06,8,-1.0,-0.6,80.0,1113107,1177890,2.9,184.4,1.8,2026-08-14
2026-09-02,140.71,43.5,48.0,53.0,2026-09-11,9,7.95,5.6,1.15,7,-0.2,0.2,-3.5,890001,1021889,2.9,184.4,1.8,2026-08-14
2026-09-03,149.74,47.9,49.5,54.2,2026-09-11,8,8.93,6.0,1.15,7,-0.9,-1.7,53.7,909366,1041948,2.9,184.4,1.8,2026-08-14
2026-09-04,147.95,43.5,48.9,53.8,2026-09-11,7,7.55,5.1,1.14,7,-0.6,-1.6,25.6,967194,1106699,2.9,184.4,1.8,2026-08-14
2026-09-07,147.95,54.7,51.1,54.9,2026-09-11,4,7.55,5.1,1.14,8,-1.4,-2.0,26.8,968846,1107437,2.9,184.4,1.8,2026-08-14
2026-09-08,153.47,57.4,52.9,56.8,2026-09-11,3,7.38,4.8,1.15,8,0.8,-2.9,82.3,1011806,1165119,2.9,184.4,1.8,2026-08-14
2026-09-09,147.55,52.0,51.4,55.7,2026-09-18,9,10.15,6.9,1.05,7,-0.7,-1.4,28.1,950957,993793,2.9,184.4,1.8,2026-08-14
2026-09-10,148.18,51.6,51.5,55.5,2026-09-18,8,9.75,6.6,0.99,7,-1.0,-0.7,68.2,1017962,1002905,2.9,184.4,1.8,2026-08-14
2026-09-11,151.21,47.2,49.5,54.8,2026-09-18,7,8.35,5.5,0.99,7,0.2,-1.3,104.0,1032208,1024216,2.8,173.6,1.6,2026-08-31
2026-09-14,148.15,52.5,49.7,54.4,2026-09-18,4,7.45,5.0,0.98,8,0.0,0.3,83.2,1099614,1072546,2.8,173.6,1.6,2026-08-31
2026-09-15,143.49,54.5,50.1,54.7,2026-09-18,3,6.53,4.6,0.95,8,0.8,-0.2,-8.4,1152274,1096999,2.8,173.6,1.6,2026-08-31
2026-09-16,150.88,53.8,51.2,55.6,2026-09-25,9,10.7,7.1,1.14,7,-0.0,-1.1,42.0,528898,602824,2.8,173.6,1.6,2026-08-31
2026-09-17,154.81,47.4,48.8,53.4,2026-09-25,8,9.07,5.9,1.14,7,-0.3,-1.3,64.2,560876,639040,2.8,173.6,1.6,2026-08-31
2026-09-18,152.71,44.4,48.6,52.7,2026-09-25,7,7.88,5.2,1.2,7,-1.0,-2.2,25.1,608529,732028,2.8,173.6,1.6,2026-08-31
