date,close,chg_1d_pct,atr_pct,hv30,iv30,iv_hv_spread,rsi,from_ath_pct,regime,n_bullish,n_bearish,n_neutral,setups,price_source
2026-08-25,137.95,2.19,6.96,89.5,54.6,-34.9,52.4,-38.86,transition,0,0,3,REGIME|PREMIUM_CHEAP|CATALYST_WINDOW,yfinance
2026-08-28,141.5,0.45,6.54,87.3,50.0,-37.3,54.7,-37.29,transition,0,0,4,REGIME|PREMIUM_CHEAP|OI_WALL_NEAR|CATALYST_WINDOW,yfinance
2026-08-31,143.69,1.55,6.24,86.6,50.3,-36.3,56.3,-36.32,transition,0,0,4,REGIME|PREMIUM_CHEAP|OI_WALL_NEAR|CATALYST_WINDOW,yfinance
2026-09-01,142.23,-1.02,6.02,86.4,49.6,-36.8,54.9,-36.97,uptrend,0,0,4,REGIME|PREMIUM_CHEAP|OI_WALL_NEAR|CATALYST_WINDOW,yfinance
2026-09-02,140.71,-1.07,5.6,83.7,48.0,-35.7,53.5,-37.64,uptrend,0,0,3,REGIME|PREMIUM_CHEAP|CATALYST_WINDOW,yfinance
2026-09-03,149.74,6.42,5.29,85.0,49.5,-35.5,60.2,-33.64,uptrend,0,0,3,REGIME|PREMIUM_CHEAP|OI_WALL_NEAR,yfinance
2026-09-04,147.95,-1.2,4.83,84.6,51.1,-33.5,58.4,-34.43,uptrend,0,0,4,REGIME|PREMIUM_CHEAP|OI_WALL_NEAR|CATALYST_WINDOW,yfinance
2026-09-08,153.47,3.73,4.68,84.7,52.9,-31.8,62.1,-31.98,uptrend,1,0,4,BREAKOUT_20D|REGIME|PREMIUM_CHEAP|OI_WALL_NEAR|CATALYST_WINDOW,yfinance
2026-09-09,147.55,-3.86,4.82,85.8,51.4,-34.4,56.3,-34.61,uptrend,0,0,4,REGIME|PREMIUM_CHEAP|OI_WALL_NEAR|CATALYST_WINDOW,yfinance
2026-09-10,148.18,0.43,4.58,84.9,51.5,-33.4,56.7,-34.33,uptrend,0,0,4,REGIME|PREMIUM_CHEAP|OI_WALL_NEAR|CATALYST_WINDOW,yfinance
2026-09-11,151.21,2.04,4.47,84.9,49.5,-35.4,59.0,-32.99,uptrend,0,0,4,REGIME|PREMIUM_CHEAP|OI_WALL_NEAR|CATALYST_WINDOW,yfinance
2026-09-14,148.15,-2.02,4.48,84.3,49.7,-34.6,55.8,-34.34,uptrend,0,0,4,REGIME|PREMIUM_CHEAP|OI_WALL_NEAR|CATALYST_WINDOW,yfinance
2026-09-15,143.49,-3.15,4.48,84.1,50.1,-34.0,51.3,-36.41,uptrend,0,0,3,REGIME|PREMIUM_CHEAP|CATALYST_WINDOW,yfinance
